Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 P;-0.2075303;-0.6748502;1.163399;0;0;0
Cube 2 P;0.5241698;-0.6369501;0.9552985;0;270;0
Cube 3 P;0.07956979;-0.4108502;0.9272985;0;0;0
Cube 4 P;0.3978698;-0.1148502;0.7537985;0;270;0
World;0.3314698;-1.07685;1.120399;0;0;0
Cube 1 G;-0.08810264;-0.7287372;1.165085;0;0;0
Cube 2 G;0.5158973;-0.6685371;1.087085;0;0;0
Cube 3 G;0.07509735;-0.5079372;0.9210849;0;0;0
Cube 4 G;0.3902974;-0.2227372;0.7594849;0;0;0
Cube 1 P;-0.2071027;-0.6747372;1.165085;0;0;0
Cube 2 P;0.5245973;-0.6368371;0.9569849;0;270;0
Cube 3 P;0.07999736;-0.4107372;0.9289849;0;0;0
Cube 4 P;0.3982974;-0.1147372;0.7554849;0;270;0
World;0.3318973;-1.076737;1.122085;0;0;0
Cube 1 G;-0.08933312;-0.7246323;1.169831;0;0;0
Cube 2 G;0.5146669;-0.6644323;1.091831;0;0;0
Cube 3 G;0.07386687;-0.5038323;0.9258311;0;0;0
Cube 4 G;0.3890669;-0.2186323;0.7642311;0;0;0
Cube 1 P;-0.2083332;-0.6706323;1.169831;0;0;0
Cube 2 P;0.5233669;-0.6327323;0.9617311;0;270;0
Cube 3 P;0.07876688;-0.4066323;0.9337311;0;0;0
Cube 4 P;0.3970669;-0.1106323;0.7602311;0;270;0
World;0.3306669;-1.072632;1.126831;0;0;0
Cube 1 G;0.7181625;-0.9201747;0.8230562;0;180.009;0
Cube 2 G;0.1141749;-0.8599746;0.9011516;0;180.009;0
Cube 3 G;0.5550011;-0.6993747;1.067082;0;180.009;0
Cube 4 G;0.2398266;-0.4141747;1.228732;0;180.009;0
Cube 1 P;0.8371626;-0.8661746;0.8230374;0;180.009;0
Cube 2 P;0.1054955;-0.8282746;1.031253;0;90.00906;0
Cube 3 P;0.5500998;-0.6021746;1.059183;0;180.009;0
Cube 4 P;0.2318272;-0.3061746;1.232733;0;90.00906;0
World;0.2981694;-1.268175;0.8661225;0;180.009;0
Cube 1 G;0.4418741;-0.9196754;1.983733;0;180.013;0
Cube 2 G;-0.1621081;-0.8594754;2.06187;0;180.013;0
Cube 3 G;0.2787296;-0.6988754;2.22777;0;180.013;0
Cube 4 G;-0.03643381;-0.4136754;2.389442;0;180.013;0
Cube 1 P;0.5608742;-0.8656754;1.983706;0;180.013;0
Cube 2 P;-0.1707786;-0.8277754;2.191972;0;90.01301;0
Cube 3 P;0.2738277;-0.6016754;2.219871;0;180.013;0
Cube 4 P;-0.04443289;-0.3056754;2.393444;0;90.01301;0
World;0.02188392;-1.267675;2.026829;0;180.013;0
Cube 1 G;0.4755269;-0.924531;1.971621;0;180.0082;0
Cube 2 G;-0.1284619;-0.864331;2.049708;0;180.0082;0
Cube 3 G;0.3123618;-0.7037311;2.215645;0;180.0082;0
Cube 4 G;-0.002815083;-0.4185311;2.37729;0;180.0082;0
Cube 1 P;0.594527;-0.870531;1.971604;0;180.0082;0
Cube 2 P;-0.1371433;-0.832631;2.179809;0;90.0082;0
Cube 3 P;0.3074607;-0.606531;2.207745;0;180.0082;0
Cube 4 P;-0.0108145;-0.310531;2.381291;0;90.0082;0
World;0.05553308;-1.272531;2.014681;0;180.0082;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0.1859234;-0.9124435;-0.6147629;0;179.9891;0
Cube 2 G;-0.4180915;-0.8522434;-0.536878;0;179.9891;0
Cube 3 G;0.02267686;-0.6916435;-0.370794;0;179.9891;0
Cube 4 G;-0.292554;-0.4064435;-0.2092541;0;179.9891;0
Cube 1 P;0.3049234;-0.8584434;-0.6147402;0;179.9891;0
Cube 2 P;-0.4268163;-0.8205434;-0.4067797;0;89.98907;0
Cube 3 P;0.01777837;-0.5944434;-0.378695;0;179.9891;0
Cube 4 P;-0.3005548;-0.2984434;-0.2052557;0;89.98907;0
World;-0.2340848;-1.260443;-0.571843;0;179.9891;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0.5277184;-0.3597763;-1.42629;0;181.5033;0
Cube 2 G;-0.07402758;-0.2995763;-1.332471;0;181.5033;0
Cube 3 G;0.3709756;-0.1389763;-1.178092;0;181.5033;0
Cube 4 G;0.06012343;0.1462237;-1.008279;0;181.5033;0
Cube 1 P;0.6466774;-0.3057763;-1.429412;0;181.5033;0
Cube 2 P;-0.07931152;-0.2678763;-1.202188;0;91.50328;0
Cube 3 P;0.3658701;-0.0417763;-1.185861;0;181.5033;0
Cube 4 P;0.05223113;0.2542237;-1.004071;0;91.50328;0
World;0.1089909;-0.7077763;-1.372286;0;181.5033;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0.5277913;-0.359872;-1.426291;0;181.4977;0
Cube 2 G;-0.07396378;-0.299672;-1.332532;0;181.4977;0
Cube 3 G;0.3710243;-0.1390721;-1.178109;0;181.4977;0
Cube 4 G;0.06015545;0.1461279;-1.008326;0;181.4977;0
Cube 1 P;0.6467506;-0.305872;-1.429401;0;181.4977;0
Cube 2 P;-0.07926048;-0.267972;-1.202249;0;91.49766;0
Cube 3 P;0.3659194;-0.04187202;-1.185878;0;181.4977;0
Cube 4 P;0.05226274;0.254128;-1.004119;0;91.49766;0
World;0.1090586;-0.707872;-1.372329;0;181.4977;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0.2375903;-0.9026956;-0.649578;0;181.4908;0
Cube 2 G;-0.3641761;-0.8424956;-0.5558908;0;181.4908;0
Cube 3 G;0.08079335;-0.6818956;-0.4014148;0;181.4908;0
Cube 4 G;-0.2300958;-0.3966956;-0.2316692;0;181.4908;0
Cube 1 P;0.35655;-0.8486956;-0.652674;0;181.4908;0
Cube 2 P;-0.3694885;-0.8107955;-0.4256084;0;91.49078;0
Cube 3 P;0.07568949;-0.5846956;-0.4091846;0;181.4908;0
Cube 4 P;-0.2379891;-0.2886956;-0.2274625;0;91.49078;0
World;-0.1811489;-1.250696;-0.5956659;0;181.4908;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0.2452849;-0.8788466;-0.598641;0;181.5824;0
Cube 2 G;-0.3563309;-0.8186466;-0.5039914;0;181.5824;0
Cube 3 G;0.08888519;-0.6580466;-0.3502273;0;181.5824;0
Cube 4 G;-0.2217322;-0.3728466;-0.1799847;0;181.5824;0
Cube 1 P;0.3642395;-0.8248466;-0.6019272;0;181.5824;0
Cube 2 P;-0.3614349;-0.7869465;-0.3737007;0;91.58243;0
Cube 3 P;0.08376884;-0.5608466;-0.357989;0;181.5824;0
Cube 4 P;-0.2296186;-0.2648466;-0.1757653;0;91.58243;0
World;-0.1733676;-1.226847;-0.5440592;0;181.5824;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0.2283044;-0.9153481;-0.7107851;0;180.2236;0
Cube 2 G;-0.3753864;-0.8551481;-0.630428;0;180.2236;0
Cube 3 G;0.06605816;-0.6945481;-0.4661499;0;180.2236;0
